date,temperature,humidity,positive_case(domestic),positive_case(overseas),max_num_hangout,num_tested(domestic),num_tested(overseas),num_from_holiday,AZ,Pfizer,Jansen,Moderna
2020-02-19,1,56.8,34,0,6,,,8,0,0,0,0
2020-02-20,4.6,62.6,16,0,6,,,9,0,0,0,0
2020-02-21,6.7,66.3,74,0,6,,,10,0,0,0,0
2020-02-22,4,62,190,0,6,,,11,0,0,0,0
2020-02-23,2.5,48.6,209,1,6,,,12,0,0,0,0
2020-02-24,7,51.8,206,1,6,,,13,0,0,0,0
2020-02-25,6.7,73.5,129,1,6,,,14,0,0,0,0
2020-02-26,6.4,59.6,252,1,6,,,15,0,0,0,0
2020-02-27,6.1,54,447,2,6,,,16,0,0,0,0
2020-02-28,4.5,79.4,427,0,6,,,17,0,0,0,0
2020-02-29,7.7,68.6,909,0,6,,,18,0,0,0,0
2020-03-01,5.8,71.8,593,2,6,,,19,0,0,0,0
2020-03-02,3.4,55.3,684,2,6,,,20,0,0,0,0
2020-03-03,4.8,57,599,1,6,,,21,0,0,0,0
2020-03-04,2.2,53.4,516,0,6,,,22,0,0,0,0
2020-03-05,1.4,47.5,437,1,6,,,23,0,0,0,0
2020-03-06,3.7,46.8,518,0,6,,,24,0,0,0,0
2020-03-07,7,39.5,483,0,6,,,25,0,0,0,0
2020-03-08,9.3,43.8,366,1,6,,,26,0,0,0,0
2020-03-09,11.1,37.6,247,1,6,,,27,0,0,0,0
2020-03-10,6.4,78.4,131,0,6,,,28,0,0,0,0
2020-03-11,3.8,41.8,239,3,6,,,29,0,0,0,0
2020-03-12,6.8,49.8,112,2,6,,,30,0,0,0,0
2020-03-13,4.9,41,107,3,6,,,31,0,0,0,0
2020-03-14,3.6,48.1,102,5,6,,,32,0,0,0,0
2020-03-15,4,48.3,72,4,6,,,33,0,0,0,0
2020-03-16,3.6,42.4,70,4,6,,,34,0,0,0,0
2020-03-17,6.6,65.8,79,5,6,,,35,0,0,0,0
2020-03-18,10,45.8,80,13,6,,,36,0,0,0,0
2020-03-19,9.1,49,135,17,6,,,37,0,0,0,0
2020-03-20,8.8,39.6,73,14,6,,,0,0,0,0,0
